"filename", "language", "Python", "Django Template", "CSS", "JavaScript", "Database", "JSON", "SCSS", "XML", "comment", "blank", "total"
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\solid.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 5, 3, 20
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\solid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\svg-with-js.css", "CSS", 0, 0, 557, 0, 0, 0, 0, 0, 5, 78, 640
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\svg-with-js.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-font-face.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 5, 4, 27
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-font-face.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-shims.css", "CSS", 0, 0, 1566, 0, 0, 0, 0, 0, 5, 624, 2195
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-shims.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v5-font-face.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 5, 3, 23
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v5-font-face.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\glightbox.css", "CSS", 0, 0, 819, 0, 0, 0, 0, 0, 8, 113, 940
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\glightbox.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\plyr.css", "CSS", 0, 0, 1615, 0, 0, 0, 0, 0, 0, 185, 1800
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\plyr.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\js\glightbox.js", "JavaScript", 0, 0, 0, 3066, 0, 0, 0, 0, 0, 590, 3656
"d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\js\glightbox.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\CS\Python\Xentiment\static\home\assets\vendor\php-email-form\validate.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 5, 11, 86
"d:\CS\Python\Xentiment\static\home\assets\vendor\purecounter\purecounter_vanilla.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 9
"d:\CS\Python\Xentiment\static\home\assets\vendor\swiper\swiper-bundle.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 11, 1, 13
"d:\CS\Python\Xentiment\static\home\assets\vendor\swiper\swiper-bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 12, 1, 14
"Total", "-", 159, 150, 59940, 16226, 70, 2052, 2080, 1, 2555, 11812, 95045
